0.000	999.000	999.000	999.000	999.000	999.000	999.000
1.000	999.000	999.000	999.000	999.000	999.000	999.000
2.000	999.000	999.000	999.000	999.000	999.000	999.000
3.000	999.000	999.000	999.000	999.000	999.000	999.000
4.000	999.000	999.000	999.000	999.000	999.000	999.000
5.000	999.000	999.000	999.000	999.000	999.000	999.000
6.000	999.000	999.000	999.000	999.000	999.000	999.000
7.000	999.000	999.000	999.000	999.000	999.000	999.000
8.000	999.000	999.000	999.000	999.000	999.000	999.000
9.000	999.000	999.000	999.000	999.000	999.000	999.000
10.000	999.000	999.000	999.000	999.000	999.000	999.000
11.000	999.000	999.000	999.000	999.000	999.000	999.000
12.000	999.000	999.000	999.000	999.000	999.000	999.000
13.000	999.000	999.000	999.000	999.000	999.000	999.000
14.000	999.000	999.000	999.000	999.000	999.000	999.000
15.000	999.000	999.000	999.000	999.000	999.000	999.000
16.000	999.000	999.000	999.000	999.000	999.000	999.000
17.000	999.000	999.000	999.000	999.000	999.000	999.000
18.000	999.000	999.000	999.000	999.000	999.000	999.000
19.000	999.000	999.000	999.000	999.000	999.000	999.000
20.000	999.000	999.000	999.000	999.000	999.000	999.000
21.000	999.000	999.000	999.000	999.000	999.000	999.000
22.000	999.000	999.000	999.000	999.000	999.000	999.000
23.000	999.000	999.000	999.000	999.000	999.000	999.000
24.000	999.000	999.000	999.000	999.000	999.000	999.000
25.000	999.000	999.000	999.000	999.000	999.000	999.000
26.000	999.000	999.000	999.000	999.000	999.000	999.000
27.000	999.000	999.000	999.000	999.000	999.000	999.000
28.000	999.000	999.000	999.000	999.000	999.000	999.000
29.000	999.000	999.000	999.000	999.000	999.000	999.000
30.000	999.000	999.000	999.000	999.000	999.000	999.000
31.000	999.000	999.000	999.000	999.000	999.000	999.000
32.000	999.000	999.000	999.000	999.000	999.000	999.000
33.000	999.000	999.000	999.000	999.000	999.000	999.000
34.000	999.000	999.000	999.000	999.000	999.000	999.000
35.000	999.000	999.000	999.000	999.000	999.000	999.000
36.000	999.000	999.000	999.000	999.000	999.000	999.000
37.000	999.000	999.000	999.000	999.000	999.000	999.000
38.000	999.000	999.000	999.000	999.000	999.000	999.000
